Time Elapsed, CPU utilized, Memory usaged
269,144.9,1057693696
270,167.8,1058504704
271,186.9,1058410496
272,193.4,1057906688
273,124.9,1058054144
274,165.9,1059328000
275,155.8,1059667968
276,190.0,1067429888
277,169.2,1067433984
278,227.1,1067237376
279,190.1,1067589632
280,178.5,1067323392
281,217.5,1067327488
282,196.1,1069953024
283,199.5,1070346240
284,217.7,1068810240
285,206.0,1067171840
286,194.7,1067327488
287,191.9,1067307008
288,186.4,1067479040
289,161.3,1067511808
290,209.1,1067511808
291,170.0,1064546304
292,176.0,1064656896
293,156.1,1064525824
294,145.0,1064652800
295,158.6,1064669184
296,202.5,1064669184
297,184.2,1064722432
298,186.5,1063669760
299,180.7,1063673856
300,182.5,1063710720
301,192.5,1063714816
302,212.5,1063714816
303,158.0,1064067072
304,202.0,1064013824
305,157.8,1063636992
306,210.9,1063649280
307,186.7,1063751680
308,156.9,1064169472
309,189.1,1064222720
310,161.8,1064214528
311,252.2,1064214528
312,191.6,1064120320
313,147.6,1073692672
314,171.5,1073700864
315,222.0,1073664000
316,186.6,1073684480
317,167.2,1064796160
318,207.0,1064751104
319,219.7,1066180608
320,246.8,1066225664
321,184.7,1066315776
322,131.3,1067212800
323,10.2,1075707904
324,72.4,1075187712
325,214.8,1075372032
326,172.8,1075376128
327,201.7,1075404800
328,187.8,1075523584
329,254.9,1075752960
330,240.9,1075752960
331,257.7,1075752960
332,254.8,1075900416
333,236.9,1075630080
334,230.8,1087447040
335,263.8,1087758336
336,257.8,1091121152
337,291.8,1091121152
338,211.7,1091776512
339,270.8,1091776512
340,210.9,1091723264
341,253.9,1091850240
342,256.8,1092100096
343,248.9,1092329472
344,261.8,1092329472
345,239.9,1092329472
346,281.0,1092247552
347,236.9,1092247552
348,272.6,1092247552
349,250.9,1092169728
350,262.7,1092169728
351,260.9,1092411392
352,271.4,1092526080
353,182.7,1092526080
354,211.6,1092608000
355,212.9,1092702208
356,202.1,1092743168
357,235.5,1092739072
358,235.9,1093140480
359,241.9,1093300224
360,247.8,1093545984
361,239.9,1093685248
362,215.8,1093943296
363,220.7,1093996544
364,230.2,1093996544
365,235.8,1093996544
366,249.9,1093996544
367,260.7,1093996544
368,268.8,1093996544
369,252.8,1093996544
370,252.9,1093996544
371,216.9,1093996544
372,261.7,1093996544
373,258.8,1093996544
374,242.9,1094004736
375,268.9,1094004736
376,212.8,1094295552
377,202.9,1094520832
378,190.9,1098571776
379,239.9,1098571776
380,177.8,1098682368
381,164.9,1098731520
382,201.8,1098272768
383,210.5,1096044544
384,104.7,1096441856
385,154.4,1095364608
386,198.9,1095401472
387,251.9,1095405568
388,187.0,1101000704
389,150.8,1101000704
390,156.9,1101438976
391,196.0,1096794112
392,190.9,1096769536
393,163.8,1091514368
394,170.5,1087590400
395,186.8,1087856640
396,189.7,1087856640
397,183.5,1088294912
398,213.9,1088315392
399,183.3,1089527808
400,160.2,1089511424
401,185.7,1089445888
402,165.9,1089445888
403,219.7,1089462272
404,190.8,1089507328
405,216.8,1089314816
406,138.9,1089314816
407,181.9,1089314816
408,176.8,1089409024
409,220.3,1089409024
410,150.1,1089277952
411,190.6,1089294336
412,161.8,1089294336
413,188.9,1089437696
414,256.9,1089437696
415,177.9,1089703936
416,199.9,1090240512
417,201.7,1090097152
418,186.6,1089732608
419,178.5,1089732608
420,152.9,1089769472
421,165.9,1089769472
422,208.5,1089769472
423,194.8,1089769472
424,194.0,1094832128
425,180.8,1094889472
426,159.9,1094238208
427,239.9,1094238208
428,199.9,1094238208
429,162.7,1094234112
430,229.9,1094234112
431,173.8,1087778816
432,189.8,1087778816
433,241.5,1087799296
434,215.9,1087823872
435,243.9,1086885888
436,232.7,1086885888
437,209.9,1086898176
438,218.9,1086889984
439,172.9,1087016960
440,251.7,1087401984
441,206.9,1087401984
442,208.9,1087401984
443,258.7,1087401984
444,201.1,1087401984
445,261.6,1087455232
446,243.5,1087455232
447,214.8,1087455232
448,206.9,1088000000
449,199.7,1088000000
450,237.9,1088000000
451,216.9,1088000000
452,243.7,1087778816
453,239.9,1087778816
454,241.9,1087705088
455,219.9,1087705088
456,191.8,1087889408
457,229.8,1087926272
458,215.9,1087893504
459,192.9,1087897600
460,205.9,1087758336
461,219.3,1087488000
462,201.9,1087488000
463,228.9,1090613248
464,184.9,1089105920
465,150.6,1089265664
466,186.8,1089044480
467,223.9,1089052672
468,186.8,1089257472
469,191.9,1089474560
470,234.9,1089474560
471,231.7,1089499136
472,205.5,1089499136
473,238.8,1089499136
474,243.9,1089503232
