Time Elapsed, CPU utilized, Memory usaged
318,106.4,533389312
319,121.9,533614592
320,111.9,532332544
321,125.8,534732800
322,124.3,536498176
323,118.8,536993792
324,114.9,538570752
325,112.8,540561408
326,118.7,538726400
327,124.7,538726400
328,122.6,538726400
329,113.8,532336640
330,88.9,529833984
331,114.9,530137088
332,129.6,530345984
333,118.2,530345984
334,121.8,527966208
335,110.3,527966208
336,114.8,528297984
337,131.9,529575936
338,129.0,529575936
339,135.5,529793024
340,127.9,529395712
341,121.6,529567744
342,104.8,529567744
343,116.9,529620992
344,126.8,529678336
345,126.7,529866752
346,129.8,529866752
347,124.0,530243584
348,113.8,529952768
349,133.9,530210816
350,129.2,528490496
351,118.9,535654400
352,125.9,537198592
353,131.9,537911296
354,111.7,536621056
355,120.4,536621056
356,132.8,536809472
357,123.8,536813568
358,126.8,535429120
359,129.8,535429120
360,108.9,535388160
361,130.9,535728128
362,122.9,535728128
363,130.6,536420352
364,128.2,536420352
365,120.9,538107904
366,104.9,537513984
367,104.5,536150016
368,120.9,536150016
369,129.9,536150016
370,128.9,535797760
371,116.8,536113152
372,123.9,535945216
373,127.6,536801280
374,121.8,536813568
375,128.7,537198592
376,128.9,537083904
377,110.9,536588288
378,130.9,536776704
379,125.6,537030656
380,127.5,536453120
381,127.9,538120192
382,123.8,537993216
383,123.9,535769088
384,131.9,535769088
385,129.4,535769088
386,130.7,535998464
387,128.9,536354816
388,107.8,535289856
389,125.9,535158784
390,128.4,533401600
391,99.9,532590592
392,120.0,532787200
393,116.9,533008384
394,119.9,533008384
395,126.9,533217280
396,129.6,533413888
397,111.9,533549056
398,128.9,533680128
399,110.6,533688320
400,126.9,531939328
401,132.0,533594112
402,131.9,533794816
403,128.9,532197376
404,115.7,532320256
405,101.9,530583552
406,131.9,531148800
407,124.6,531374080
408,124.7,531578880
409,120.9,531578880
410,120.9,529723392
411,111.7,530112512
412,106.0,530333696
413,130.9,530554880
414,116.6,530505728
415,123.8,534212608
416,110.9,534007808
417,77.5,534548480
418,127.8,541335552
419,67.3,541491200
420,123.8,540585984
421,129.7,543027200
422,109.9,539009024
423,126.9,539009024
424,128.8,534720512
425,128.9,534851584
426,126.9,535031808
427,119.9,535048192
428,110.8,532779008
429,119.9,532779008
430,125.6,531152896
431,120.9,531705856
432,124.0,531857408
433,125.8,535252992
434,102.9,536068096
435,128.3,536604672
436,123.6,537346048
437,116.6,537579520
438,123.8,538107904
439,116.4,536240128
440,123.3,536100864
441,129.2,537866240
442,133.3,537866240
443,126.6,537866240
444,132.8,538464256
445,124.9,538656768
446,126.3,537378816
447,123.9,537411584
448,126.9,537878528
449,131.0,535539712
450,122.6,536920064
451,110.8,527077376
452,96.9,521179136
453,127.4,521179136
454,133.3,521318400
455,117.0,521318400
456,125.9,521908224
457,127.5,522428416
458,104.8,522993664
459,124.5,520974336
460,126.8,528011264
461,126.9,534642688
462,131.0,535388160
463,121.9,540336128
464,110.9,538050560
465,132.8,538386432
466,130.8,539230208
467,130.9,539426816
468,129.9,539828224
469,129.9,542437376
470,118.5,541425664
471,125.9,543768576
472,129.9,543768576
473,116.0,543981568
474,129.9,542543872
475,105.9,539435008
476,103.9,535408640
477,124.8,535404544
478,125.0,535543808
479,129.7,533897216
480,128.9,532316160
481,115.9,535437312
482,120.6,534872064
483,128.5,535011328
484,117.2,535015424
485,113.7,532119552
486,126.9,532455424
487,113.7,529403904
488,126.4,529403904
489,130.4,529403904
490,127.9,528654336
491,127.8,528654336
492,124.5,530575360
493,109.9,529715200
494,124.9,529932288
495,126.9,530374656
496,122.9,530374656
497,135.8,530374656
498,113.5,529821696
499,123.9,529821696
500,128.8,529797120
501,130.9,529989632
502,124.8,530214912
503,116.9,530857984
504,107.0,526995456
505,122.3,527384576
506,124.9,527609856
507,124.7,527609856
508,128.9,527925248
509,123.5,528281600
510,117.2,527523840
511,129.8,527523840
512,86.9,544567296
513,18.0,567283712
514,113.9,596713472
515,116.0,594477056
516,122.9,598626304
517,118.7,596750336
518,61.9,597209088
519,107.9,599867392
520,126.7,604368896
521,100.0,603709440
522,107.9,601354240
523,106.0,610168832
524,129.7,610783232
525,125.0,611696640
526,127.0,611696640
527,116.8,611872768
528,123.4,611872768
529,127.7,612151296
530,129.9,609865728
531,136.8,614543360
532,110.5,616767488
533,116.4,616865792
534,119.9,615776256
535,130.6,615780352
536,129.9,615784448
537,128.0,615784448
538,114.8,616071168
539,122.8,616071168
540,104.8,625872896
541,120.7,626081792
542,119.9,628097024
543,104.8,628850688
544,116.9,628424704
545,131.7,628424704
546,129.9,626798592
547,131.5,627200000
548,121.9,627200000
549,110.9,626987008
550,129.8,625913856
551,121.0,627511296
552,122.8,627712000
553,125.9,627720192
554,115.9,627720192
555,117.6,627294208
556,128.9,627310592
557,115.2,627552256
558,129.8,627552256
559,126.8,627949568
560,119.8,624566272
561,110.9,626085888
562,121.5,626302976
563,123.0,626827264
564,124.9,628908032
565,125.9,631009280
566,113.1,630951936
567,116.5,631025664
568,121.2,631025664
569,127.9,631521280
570,125.1,629563392
571,130.1,630968320
572,90.4,629755904
573,93.0,627556352
574,124.8,628314112
575,130.8,628973568
576,128.0,628973568
577,124.9,629538816
578,108.2,631623680
579,127.9,632389632
580,123.8,631742464
581,126.2,631975936
582,129.6,632111104
583,111.8,632639488
584,119.7,634036224
585,125.9,634056704
586,132.9,634056704
587,149.9,642736128
588,153.9,665604096
589,152.9,665055232
590,162.9,665923584
591,105.9,666402816
592,69.9,675827712
593,14.0,675921920
594,7.0,671387648
595,7.0,671465472
596,0.0,671465472
597,12.0,671547392
598,5.0,671625216
599,4.0,668663808
600,23.0,668291072
601,1.0,668291072
602,7.0,659234816
603,6.0,656064512
