Time Elapsed, CPU utilized, Memory usaged
318,50.0,431636480
319,48.0,430587904
320,46.0,430858240
321,55.0,430858240
322,51.0,431181824
323,59.0,431181824
324,49.0,430858240
325,48.9,431673344
326,60.0,428687360
327,50.9,429867008
328,57.0,430751744
329,34.0,431017984
330,21.0,433467392
331,39.0,431128576
332,50.0,431128576
333,55.0,431443968
334,71.0,432934912
335,46.0,432939008
336,47.0,432656384
337,94.9,434417664
338,45.9,436125696
339,52.0,436834304
340,43.0,437112832
341,59.0,438718464
342,52.0,440156160
343,46.0,442273792
344,47.8,443703296
345,46.0,443875328
346,52.0,443691008
347,52.0,444502016
348,47.0,442884096
349,49.0,441835520
350,47.0,439205888
351,47.0,439209984
352,44.0,440782848
353,48.0,439205888
354,56.0,436056064
355,47.0,436969472
356,71.0,436580352
357,47.0,437243904
358,49.0,437309440
359,53.0,436752384
360,47.9,437026816
361,46.0,437514240
362,48.0,438255616
363,49.0,435314688
364,48.0,435187712
365,47.0,436060160
366,48.0,437112832
367,53.9,439885824
368,48.0,441888768
369,51.0,443895808
370,47.0,445317120
371,46.0,445054976
372,48.0,445636608
373,48.0,444637184
374,50.0,441745408
375,48.0,442359808
376,47.0,438140928
377,45.0,438411264
378,47.0,439517184
379,50.9,440328192
380,51.0,440868864
381,47.0,442019840
382,47.0,443281408
383,49.0,443281408
384,60.0,442839040
385,51.0,444473344
386,47.0,444882944
387,46.0,446042112
388,49.0,446042112
389,48.0,446111744
390,49.0,447987712
391,48.0,451403776
392,46.0,453341184
393,47.0,454348800
394,88.9,453537792
395,48.0,450830336
396,50.0,447246336
397,47.9,447971328
398,48.0,449318912
399,49.0,448913408
400,48.0,449789952
401,52.0,447328256
402,49.0,448159744
403,48.0,449560576
404,48.0,450134016
405,82.9,451280896
406,75.9,452554752
407,47.9,454545408
408,48.0,451399680
409,49.0,449855488
410,47.9,450777088
411,48.0,450777088
412,45.0,451235840
413,48.0,452308992
414,51.0,453451776
415,48.9,452956160
416,47.9,451457024
417,48.0,451997696
418,46.0,452521984
419,52.0,452620288
420,49.0,451317760
421,62.0,448167936
422,48.0,448172032
423,47.0,447901696
424,50.0,447762432
425,50.0,448643072
426,51.0,449650688
427,48.0,449925120
428,46.0,451280896
429,50.0,455675904
430,47.0,456564736
431,48.0,456949760
432,48.9,458010624
433,44.0,455966720
434,52.0,455847936
435,48.0,456081408
436,49.0,452358144
437,46.0,453255168
438,50.0,453083136
439,50.0,452939776
440,46.0,453877760
441,50.0,453709824
442,48.0,455057408
443,46.0,456392704
444,50.0,458289152
445,47.0,458960896
446,49.0,460513280
447,48.0,462553088
448,47.0,463319040
449,48.0,462737408
450,49.0,459599872
451,47.9,457170944
452,48.0,457170944
453,64.0,454283264
454,47.0,453251072
455,48.0,454135808
456,49.9,456818688
457,50.0,457093120
458,46.0,456466432
459,46.0,456687616
460,48.0,455634944
461,47.0,455634944
462,48.0,458674176
463,49.0,460484608
464,47.0,460226560
465,48.0,461242368
466,49.0,461144064
467,46.9,463515648
468,55.0,462204928
469,47.0,463163392
470,48.0,463974400
471,49.9,464920576
472,49.0,466427904
473,47.0,463314944
474,70.0,461750272
475,47.0,463085568
476,50.0,464617472
477,22.0,466173952
478,30.0,466137088
479,49.9,462983168
480,49.0,463798272
481,51.0,464670720
482,48.0,467648512
483,49.0,466255872
484,49.0,465469440
485,45.0,464531456
486,51.0,461914112
487,51.0,461914112
488,48.0,459288576
489,49.0,458960896
490,66.9,459345920
491,62.0,459436032
492,48.0,461406208
493,53.0,462077952
494,48.0,465297408
495,53.0,465596416
496,89.9,470335488
497,105.9,390905856
498,57.0,393043968
499,48.9,396349440
500,51.0,397496320
501,50.0,401256448
502,48.0,401801216
503,46.0,404021248
504,48.9,407261184
505,46.0,407265280
506,48.0,408522752
507,48.0,409186304
508,50.0,410259456
509,48.0,414228480
510,47.0,415039488
511,48.0,419438592
512,48.0,420491264
513,47.0,420491264
514,50.0,421851136
515,47.0,422670336
516,47.0,423292928
517,47.0,425529344
518,48.0,426766336
519,50.0,430669824
520,47.0,430452736
521,42.0,428625920
522,48.0,432037888
523,48.0,432574464
524,51.0,436932608
525,48.0,438009856
526,46.0,438685696
527,47.0,440406016
528,48.0,440414208
529,48.0,443707392
530,45.0,443707392
531,47.0,446107648
532,66.0,446918656
533,47.0,447053824
534,47.9,449482752
535,45.9,449826816
536,48.0,454275072
537,52.0,455077888
538,46.0,455147520
539,50.0,457846784
540,46.0,457973760
