Time Elapsed, CPU utilized, Memory usaged
1,6.0,551763968
2,0.0,551763968
3,1.0,549629952
4,5.0,549629952
5,13.0,549670912
6,15.0,552906752
7,1.0,552906752
8,2.0,552873984
9,4.0,553631744
10,1.0,553631744
11,5.0,555208704
12,0.0,555208704
13,1.0,555208704
14,4.0,555143168
15,3.0,555143168
16,4.0,553123840
17,0.0,553123840
18,2.0,553123840
19,58.0,563052544
20,13.0,562331648
21,17.0,562331648
22,7.0,562728960
23,17.0,562839552
24,16.0,563040256
25,18.0,563412992
26,27.0,562003968
27,13.0,562380800
28,20.0,564232192
29,18.0,564674560
30,19.0,565108736
31,32.0,565633024
32,22.0,566464512
33,21.0,558751744
34,33.0,559280128
35,18.0,559599616
36,30.0,558215168
37,33.0,558739456
38,45.9,560152576
39,27.0,561598464
40,31.0,562049024
41,32.0,563396608
42,21.0,563535872
43,105.9,566005760
44,186.9,578985984
45,46.0,579043328
46,36.0,577658880
47,30.0,578072576
48,56.9,578486272
49,47.0,582447104
50,24.0,582582272
51,37.0,582574080
52,28.0,582750208
53,43.0,583962624
54,27.0,583127040
55,45.7,585003008
56,92.9,589225984
57,97.9,590663680
58,105.9,592048128
59,111.9,592769024
60,103.9,593485824
61,97.9,594157568
62,70.0,595656704
63,65.0,596353024
64,54.9,602988544
65,63.9,603521024
66,66.0,599568384
67,17.0,597471232
68,13.0,599138304
69,33.0,599363584
70,7.0,597594112
71,66.9,626987008
72,117.0,657645568
73,115.9,653959168
74,97.8,655290368
75,76.9,655876096
76,64.8,648654848
77,60.0,648548352
78,88.6,657305600
79,103.6,660766720
80,136.9,662167552
81,126.9,662278144
82,66.3,658292736
83,68.9,651534336
84,81.5,655970304
85,77.4,651476992
86,100.3,657870848
87,76.9,654921728
88,16.0,655777792
89,25.0,655249408
90,51.0,649560064
91,76.7,642162688
92,100.9,644403200
93,104.9,665567232
94,136.8,707702784
95,94.8,707694592
96,94.7,704442368
97,68.0,708681728
98,83.3,711753728
99,77.0,713080832
100,86.8,705228800
101,51.0,705224704
102,71.9,703574016
103,163.9,700686336
104,82.8,700698624
105,74.2,701173760
106,73.9,711507968
107,66.9,710316032
108,60.9,709177344
109,56.0,715419648
110,72.9,716226560
111,66.8,715071488
112,68.9,715075584
113,67.9,710356992
114,57.9,708206592
115,90.9,709799936
116,90.9,706928640
117,81.0,694034432
118,42.9,690470912
119,19.0,690372608
120,74.9,683765760
121,77.9,682024960
122,63.9,670339072
123,64.4,654258176
124,68.9,643538944
125,52.8,631001088
126,54.0,651284480
127,107.9,623493120
128,82.8,624463872
129,89.8,624340992
130,90.9,625729536
131,74.3,626987008
132,87.9,629432320
133,78.8,628314112
134,82.6,623767552
135,89.4,622469120
136,73.7,618729472
137,81.4,617476096
138,85.9,611856384
139,73.9,611799040
140,88.8,612048896
141,85.9,611930112
142,90.3,611049472
143,87.6,611696640
144,82.9,612245504
145,97.8,613056512
146,89.9,613482496
147,104.7,610713600
148,171.8,615890944
149,126.9,618037248
150,108.7,618414080
151,95.5,619327488
152,78.7,619008000
153,79.8,616845312
154,71.4,612487168
155,82.8,619704320
156,86.0,619888640
157,75.5,621576192
158,78.7,616460288
159,84.9,627171328
160,85.9,617271296
161,75.9,618012672
162,95.3,618835968
163,94.9,615206912
164,101.7,615403520
165,105.4,614879232
166,104.9,615096320
167,96.5,615292928
168,87.8,613560320
169,86.4,614719488
170,104.9,613437440
171,117.5,634077184
172,98.9,633905152
173,20.0,633958400
174,3.0,633958400
175,15.0,634171392
176,1.0,634171392
177,2.0,634171392
178,17.0,632426496
179,28.0,633753600
180,16.0,633753600
181,1.0,633753600
182,3.0,633753600
183,12.0,633536512
184,5.0,633536512
185,7.0,633536512
186,9.0,633675776
187,4.0,633675776
188,6.0,631689216
189,2.0,634769408
190,8.0,634769408
191,1.0,634769408
192,1.0,634855424
193,6.0,634970112
194,1.0,634703872
195,9.0,634859520
196,0.0,634859520
197,2.0,634859520
198,5.0,632840192
199,1.0,634191872
200,14.0,634294272
201,0.0,634294272
202,2.0,634294272
203,3.0,634294272
204,1.0,634294272
205,6.0,634888192
206,0.0,634888192
207,8.0,634888192
208,11.0,631693312
209,1.0,634585088
